STATION: IODESS37

=== SEASONAL COLD ===
elev,N,count,median,p25,p75
8,0,16,0.472,0.446,0.54
8,2,17,0.474,0.427,0.492
8,3,10,0.481,0.437,0.519
8,5,13,0.605,0.447,0.789
8,6,30,0.633,0.49,0.744
8,7,22,0.56,0.499,0.649
8,8,87,0.406,0.253,0.601
13,0,20,0.472,0.296,0.594
13,2,33,0.585,0.353,0.651
13,3,15,0.547,0.333,0.656
13,5,21,0.61,0.526,0.75
13,6,41,0.622,0.515,0.717
13,7,24,0.573,0.525,0.683
13,8,161,0.335,0.21,0.492
18,0,14,0.778,0.71,0.819
18,2,21,0.765,0.696,0.821
18,3,25,0.72,0.668,0.795
18,5,19,0.714,0.7,0.825
18,6,56,0.687,0.561,0.793
18,7,35,0.588,0.444,0.827
18,8,235,0.321,0.206,0.492
23,0,17,0.744,0.702,0.849
23,2,14,0.835,0.808,0.904
23,3,6,0.749,0.657,0.778
23,5,21,0.827,0.762,0.909
23,6,38,0.806,0.644,0.945
23,7,20,0.678,0.424,0.82
23,8,101,0.345,0.218,0.482
28,0,14,0.849,0.798,0.914
28,2,13,0.853,0.817,0.867
28,3,15,0.862,0.814,0.921
28,5,19,0.867,0.811,0.889
28,6,31,0.83,0.666,0.87
28,7,18,0.677,0.512,0.766
28,8,72,0.418,0.274,0.633
33,0,12,0.954,0.936,0.975
33,2,13,0.976,0.896,1.002
33,3,9,0.985,0.93,1.016
33,5,9,0.961,0.896,0.994
33,6,21,0.944,0.839,0.98
33,7,13,0.558,0.287,0.698
33,8,51,0.422,0.272,0.753
38,2,9,0.912,0.878,0.989
38,3,5,0.905,0.888,0.935
38,5,10,0.95,0.761,0.979
38,6,10,0.754,0.571,0.865
38,7,7,0.655,0.517,0.88
38,8,41,0.325,0.202,0.519
43,8,14,0.465,0.237,0.635

=== SEASONAL WARM ===
elev,N,count,median,p25,p75
8,0,12,0.475,0.458,0.531
8,2,7,0.501,0.42,0.525
8,6,8,0.578,0.407,0.778
8,8,8,0.32,0.23,0.783
13,0,17,0.592,0.422,0.714
13,2,8,0.644,0.434,0.709
13,3,9,0.614,0.408,0.658
13,5,11,0.503,0.423,0.708
13,6,23,0.558,0.457,0.718
13,7,8,0.412,0.363,0.692
13,8,40,0.366,0.197,0.516
18,0,31,0.726,0.528,0.822
18,2,24,0.726,0.668,0.794
18,3,19,0.755,0.687,0.78
18,5,20,0.73,0.578,0.795
18,6,24,0.637,0.516,0.779
18,7,11,0.535,0.458,0.716
18,8,41,0.416,0.241,0.547
23,0,50,0.826,0.757,0.917
23,1,7,0.866,0.843,0.902
23,2,42,0.801,0.766,0.867
23,3,42,0.802,0.733,0.877
23,5,37,0.804,0.75,0.86
23,6,65,0.711,0.455,0.855
23,7,14,0.669,0.478,0.842
23,8,89,0.449,0.237,0.72
28,0,46,0.946,0.9,1.016
28,2,24,0.92,0.87,1.017
28,3,5,0.893,0.867,1.024
28,5,7,0.888,0.795,0.962
28,6,16,0.926,0.807,1.022
28,7,7,0.72,0.521,0.997
28,8,26,0.354,0.218,0.621
